"v"	"v2"	"first"	"second"	"palindromatic"
"aob"	"boa"	16569	36923	FALSE
"ap"	"pa"	16618	222538	FALSE
"apa"	"apa"	16619	16619	TRUE
"apay"	"yapa"	16638	145692	FALSE
"apart"	"trapa"	16664	328435	FALSE
"ape"	"epa"	16701	101988	FALSE
"aped"	"depa"	16704	81484	FALSE
"apod"	"dopa"	17157	91597	FALSE
"app"	"ppa"	17532	245057	FALSE
"appal"	"lappa"	17535	168374	FALSE
"apus"	"supa"	18156	311248	FALSE
"ar"	"ra"	18293	259191	FALSE
"ara"	"ara"	18294	18294	TRUE
"arab"	"bara"	18295	27661	FALSE
"aramis"	"simara"	18426	290720	FALSE
"arar"	"rara"	18463	260810	FALSE
"arara"	"arara"	18464	18464	TRUE
"arb"	"bra"	18492	39329	FALSE
"are"	"era"	19299	103462	FALSE
"ares"	"sera"	19409	285887	FALSE
"aret"	"tera"	19411	319184	FALSE
"arf"	"fra"	19422	118127	FALSE
"arg"	"gra"	19425	128454	FALSE
"argas"	"sagra"	19437	276708	FALSE
"arian"	"naira"	19632	196613	FALSE
"aril"	"lira"	19692	173351	FALSE
"aryl"	"lyra"	19693	173352	FALSE
"ark"	"kra"	19839	166215	FALSE
"arkab"	"bakra"	19840	26629	FALSE
"aro"	"ora"	20053	213907	FALSE
"arras"	"sarra"	20182	278536	FALSE
"arret"	"terra"	20222	319487	FALSE
"arris"	"sirra"	20265	292428	FALSE
"art"	"tra"	20447	326995	FALSE
"artamus"	"sumatra"	20452	310879	FALSE
"arts"	"stra"	20786	305583	FALSE
"artus"	"sutra"	20789	313853	FALSE
"aru"	"ura"	20793	355249	FALSE
"arum"	"mura"	20802	195646	FALSE
"as"	"sa"	20839	275974	FALSE
"asa"	"asa"	20840	20840	TRUE
"asak"	"kasa"	20845	163284	FALSE
"asem"	"mesa"	21084	183993	FALSE
"asor"	"rosa"	21351	274421	FALSE
"assam"	"massa"	21591	180753	FALSE
"asses"	"sessa"	21713	286582	FALSE
"at"	"ta"	22374	314738	FALSE
"ata"	"ata"	22375	22375	TRUE
"atap"	"pata"	22407	227545	FALSE
"atar"	"rata"	22408	260946	FALSE
"ate"	"eta"	22446	104789	FALSE
"atef"	"feta"	22455	111722	FALSE
"ates"	"seta"	22490	286617	FALSE
"ati"	"ita"	22634	159428	FALSE
"atip"	"pita"	22644	238207	FALSE
"atis"	"sita"	22651	292606	FALSE
"atlas"	"salta"	22669	277252	FALSE
"atokal"	"lakota"	22729	167517	FALSE
"atom"	"mota"	22735	193907	FALSE
"atta"	"atta"	22915	22915	TRUE
"atte"	"etta"	22984	105232	FALSE
"auget"	"tegua"	23365	317890	FALSE
"auk"	"kua"	23424	166378	FALSE
"auks"	"skua"	23427	293484	FALSE
"aulu"	"ulua"	23464	334113	FALSE
"aute"	"etua"	23770	105239	FALSE
"av"	"va"	24560	356324	FALSE
"ava"	"ava"	24561	24561	TRUE
"aval"	"lava"	24581	169249	FALSE
"ave"	"eva"	24622	105926	FALSE
"avid"	"diva"	24777	90193	FALSE
"avis"	"siva"	24816	292690	FALSE
"avo"	"ova"	24829	217997	FALSE
"aw"	"wa"	24917	361653	FALSE
"awa"	"awa"	24918	24918	TRUE
"awat"	"tawa"	24979	317230	FALSE
"awm"	"mwa"	25045	196393	FALSE
"awol"	"lowa"	25060	175604	FALSE
"axon"	"noxa"	25180	209230	FALSE
"az"	"za"	25219	368719	FALSE
"b"	"b"	25418	25418	TRUE
"bab"	"bab"	25441	25441	TRUE
"bac"	"cab"	25594	43839	FALSE
"bad"	"dab"	26160	75941	FALSE
"bag"	"gab"	26269	120764	FALSE
"bah"	"hab"	26374	131722	FALSE
"bal"	"lab"	26649	166598	FALSE
"bals"	"slab"	27119	293528	FALSE
"bam"	"mab"	27189	176603	FALSE
"ban"	"nab"	27223	196404	FALSE
"bank"	"knab"	27484	165405	FALSE
"bans"	"snab"	27582	295181	FALSE
"bar"	"rab"	27660	259197	FALSE
"barb"	"brab"	27695	39331	FALSE
"bard"	"drab"	27853	92427	FALSE
"bares"	"serab"	27923	285888	FALSE
"barf"	"frab"	27931	118128	FALSE
"barger"	"regrab"	27969	265757	FALSE
"bas"	"sab"	28462	275980	FALSE
